                                                ENERGY (CM^2)
     UTC      Hs  Tp                 BAND PERIOD LIMITS (SECS)
YYYYMMDDHHMM (CM) (SEC) 22+ 22-18  18-16  16-14  14-12  12-10   10-8    8-6    6-2
202005050530  111  4     0      2      2      8     31    109    175    200    254
202005050600  103  4     0      3      3     12     39     66    144    157    237
202005050630  107  4     0      2      2      9     30    110    134    200    232
202005050700  107  4     0      2      3     11     47     80    133    211    229
202005050730  116  4     0      2      1     10     59    110    188    214    278
202005050800  104  4     0      3      2      6     28     62    138    208    241
202005050830  115  7     0      2      2      9     39     88    162    268    267
202005050900  113  4     0      2      2      8     33     94    209    186    292
202005050930  112  4     0      2      2     12     31     98    147    247    251
202005051000  111  4     0      4      3     10     26     93    160    207    280
202005051030  113  4     0      4      3     10     26     60    116    254    331
202005051100  105  4     0      4      3     18     27     72    106    204    261
202005051130  105  4     0      2      2     10     37     55    128    210    245
202005051200  114  4     0      2      2     12     39     60    165    248    301
202005051230  116  7     0      3      3     14     54     36    213    266    251
202005051300  115  4     0      2      2     13     44     74    136    272    286
202005051330  111  4     1      4      3     12     39     76    147    239    253
202005051400  113  4     1      3      3     14     33     86    200    202    272
202005051430  112  7     0      2      2     16     53     96    150    251    220
202005051500  108  4     0      3      2     17     40    117    161    195    217
202005051530  108  4     0      2      3     12     39     96    157    205    231
202005051600  109  4     0      2      1     12     31     98    187    214    222
202005051630  115  7     0      3      2     12     44     86    233    243    216
202005051700  112  4     0      2      2     14     34     95    184    230    244
202005051730  104  4     0      2      3      7     32     67    126    198    251
202005051800  110  4     0      3      3     14     38     84    127    222    281
202005051830  102  4     0      2      2     10     31     52    125    160    274
202005051900  107  4     0      3      5      7     45     72    110    193    287
202005051930  100  4     0      2      2     11     30     34    103    181    264
202005052000  102  4     0      3      2      9     27     47    125    170    273
202005052030  104  4     0      3      4      6     54     40     89    165    313
202005052100   99  4     0      3      3      9     36     57     99    168    242
202005052130  101  4     0      3      3      7     33     64     97    176    253
202005052200   94  4     0      2      3      8     23     53     79    160    227
202005052230   94  4     0      5      6      9     30     55     78    149    225
202005052300   90  4     0      2      3      5     19     47     81    111    232
202005052330   91  4     0      3      3     10     17     33     74    143    228
202005060000   94  4     0      2      4      8     20     37    105    126    242
202005060030   90  4     0      4      8      7     35     39     88    107    222
202005060100   92  4     0      4      3      4     18     54     67    148    226
202005060130   99  4     0      4      6      8     25     69    122    130    250
202005060200   89  4     0      3      7      5     32     64     81     80    221
202005060230   93  4     0      5      8      5     33     71     94    113    222
202005060300   94  4     0      5      6      9     39     66    126    111    198
202005060330   96  4     0      2      5      5     28     60    152    121    225
202005060400  100  4     0      3      8      5     23     60    159    191    192
202005060430   97  4     0      4      6      6     17     30    164    159    203
202005060500   97  4     1      4     10      7     34     42    143    145    207
202005060530  110  7     0      4     11      4     31     41    216    230    221
202005060600  105  4     0      5     16      8     26     36    112    217    270
202005060630  107  4     0      5     14      8     19     51    121    212    289
202005060700  104  4     0      4     15     10     28     37     92    187    307
202005060730  109  4     1      6     28     10     25     39    106    207    323
202005060800  109  4     0      4     25     23     15     27    110    221    327
202005060830  104  4     0      4     10     22     25     42     87    220    280
202005060900  107  4     0      3     10     14     31     39    115    183    334
202005060930  105  4     0      3     12     22     21     39     94    196    302
202005061000  113  4     1      3     15     68     53     29     93    250    290
202005061030  115  4     1      3     14     52     23     24     97    272    336
202005061100  111  4     1      3     11     59     33     38     89    182    361
202005061130  109  4     0      3      7     55     42     37    109    201    291
202005061200  115  4     0      5     20     75     40     43    113    203    335
202005061230  115  4     1      3     22     60     46     45    116    233    301
202005061300  114  4     0      2     10     78     43     46    120    222    297
202005061330  123  4     0      3     16     78     49     55    172    228    345
202005061400  130  4     1      2     16    136     93     63    203    266    279
202005061430  128  7     1      4     13    100     63     63    228    303    268
202005061500  128  7     1      4     20     87     66     71    196    328    251
202005061530  133  9     1      2     14     51     68     59    313    312    300
202005061600  136  7     0      2      7     46     82     61    344    362    258
202005061630  132  7     1      3     13     53     94     71    269    323    276
202005061700  126  4     1      3     15     56     86     55    198    285    295
202005061730  119  7     1      4     16     40    106     48    170    261    251
202005061800  127  7     1      3      9     60    129     53    213    299    246
202005061830  122  7     0      3     14     67     90     65    168    270    268
202005061900  120  4     1      3      6     51     70     74    237    172    294
202005061930  108  4     0      3     13     37     94     46    120    159    258
202005062000  103  4     0      3     11     44     74     33    147    133    211
202005062030  119  9     0      2     11     21     57     51    270    218    250
202005062100  111  4     0      3      9     39     56     60    190    188    216
202005062130  118  9     0      4     16     52     54     63    261    195    228
202005062200  110  4     0      2     12     39     97     77    152    162    228
202005062230  117  4     0      3      7     42     92     70    173    223    248
202005062300  124  4     0      3      8     37     99     99    241    224    251
202005062330  124  4     0      3      8     44    112    128    223    222    232
202005070000  128  7     0      4     10     25    123    106    196    297    261
202005070030  136  7     0      1      8     47    124    123    303    346    209
202005070100  119  7     0      3     12     43    167     95    170    233    170
202005070130  122  7     1      2      9     36    107     93    222    281    198
202005070200  125  9     1      3     12     35    127    132    261    237    187
202005070230  119  7     0      2     11     38    128    126    213    233    155
202005070300  121  7     1      4     12     39    155    162    203    208    154
202005070330  120  7     0      2      4     37    134    141    223    247    141
202005070400  123  9     1      3     10     36    127    190    247    189    158
202005070430  127  9     1      4     11     32    218    198    246    168    147
202005070500  118  9     0      3      5     30    123    204    254    151    128
202005070530  121  9     0      2     13     28    123    190    213    202    163
202005070600  127 11     0      2     10     30    160    237    230    223    143
202005070630  125  9     0      2      8     36    132    223    296    194    125
202005070700  120  9     0      3      7     34    142    145    276    176    144
202005070730  125  9     0      2      7     22    127    252    258    194    153
202005070800  124  9     0      2      8     27    145    169    274    200    154
202005070830  117  9     0      2      6     24     78    128    238    227    166
202005070900  119  9     0      3      7     27     87    154    239    223    172
202005070930  119  7     0      3      9     38     68    131    213    271    167
202005071000  124  9     0      2      6     20     83    135    267    254    214
202005071030  126  7     0      1      7     40     69    123    246    317    201
202005071100  129  9     0      3      7     31    140    178    265    236    197
202005071130  131  9     0      2      6     24    114    224    290    243    184
202005071200  132  9     0      2     13     40     83    152    345    251    236
202005071230  129  9     0      2      6     32    109    200    268    234    218
202005071300  143 11     0      1      4     26     90    363    336    275    230
202005071330  132  7     0      2      7     30     89    213    270    296    222
202005071400  135  9     0      3      4     24     87    215    339    281    228
202005071430  135  9     0      2      5     19    136    256    350    221    170
202005071500  148  9     0      3      6     25    163    322    491    228    194
202005071530  147  9     0      2      6     31    131    339    486    261    163
202005071600  142  9     0      3      4     26    129    343    381    236    189
202005071630  137  9     0      2      3     33     93    267    450    225    169
202005071700  151  9     0      2      8     29     93    348    571    250    194
202005071730  149  9     0      2      7     30     92    341    564    215    182
202005071800  153  9     1      3      7     16     82    233    772    247    161
202005071830  160  9     1      2      5     18     82    301    817    300    133
202005071900  137  9     0      1      4     34     51    264    460    230    151
202005071930  145  9     0      2      6     27     84    330    446    288    163
