                                                ENERGY (CM^2)
     UTC      Hs  Tp                 BAND PERIOD LIMITS (SECS)
YYYYMMDDHHMM (CM) (SEC) 22+ 22-18  18-16  16-14  14-12  12-10   10-8    8-6    6-2
202007070800  119  9     0      5     11    126    122    123    239    166    127
202007070830  104  9     1      4      9     77     72     84    214    126    113
202007070900  117  9     1      4     11     78     91     97    268    191    142
202007070930  120  9     1      5     17     86    108     97    324    151    149
202007071000  114  9     1      5     16    102     89     97    191    179    147
202007071030  113  4     1      5     15    119    121     87    150    153    160
202007071100  111  4     1      6     25     78    111     83    125    174    186
202007071130  119  7     1      5     30    114    120     93    124    240    170
202007071200  109  4     1      7     28    112     74     88    125    150    173
202007071230  106  7     0      4     22     86    100     59    108    192    152
202007071300  112  4     1      8     20    111    114     76    113    175    176
202007071330  106  4     0      4     18     68     56     68    145    173    185
202007071400  111  7     1      3     21     93     94     76    138    191    170
202007071430  110  7     1      3     29     87    105     53     99    212    179
202007071500  105  4     0      4     24     97     97     47    105    144    176
202007071530  106  4     0      3     26     77    103     46    119    140    192
202007071600  107  4     1      3     30     79     93     74    143    154    170
202007071630  100  4     1      4     43     67     79     50     92    114    180
202007071700  106  4     1      4     27    116    103     59    123    117    169
202007071730  111  4     1      3     24    105    116     93    112    144    178
202007071800  107  4     1      3     31     86     96     95    113    115    183
202007071830  107  7     1      5     22     33    104     96    144    161    154
202007071900  108  4     1      3     26     68     86     84    133    150    182
202007071930  109  4     1      6     27     74    106    100    119    135    182
202007072000  107  4     1      2     19     82    126     76    104    140    171
202007072030  110  4     1      4     36     81     79    127    144    130    168
202007072100  124  9     0      4     28     73    142    140    256    183    156
202007072130  120  9     1      5     42     43     81    172    251    173    170
202007072200  116  7     0      1     36     73     77     76    204    217    170
202007072230  128  9     1      2     28     56    100    177    269    237    189
202007072300  121  9     0      2     19     78     69    125    271    179    188
202007072330  117  9     1      3     18     74     85     73    267    192    153
202007080000  120  9     0      4     26     56     83    111    314    181    150
202007080030  114  9     0      2     12     43     51     86    273    200    167
202007080100  117  9     0      2     28     52    121     85    239    191    157
202007080130  112  9     1      3     15     69     56    107    225    195    147
202007080200  115  9     0      4     17     65     77     72    235    222    155
202007080230  117  9     1      3     24    121     76     86    239    183    142
202007080300  109  7     1      3     27     77     75     56    176    195    144
202007080330  102  7     1      2     13     53    105     42    150    152    141
202007080400   97  9     1      3     27     75     39     41    150    143    120
202007080430  102  7     1      4     13    107    118     30    113    147    114
202007080500  101  7     0      3     17     62    112     56    130    147    119
202007080530   91  7     1      3      9     83     52     48     89    124    112
202007080600   94  4     1      2      6     80     75     42    110    113    123
202007080630   89  7     1      4     14     58     80     38     79    124    101
202007080700   99  7     1      1      6     87     74     33    142    159    116
202007080730   99  7     1      1      8     85     73     41    106    177    120
