                                                ENERGY (CM^2)
     UTC      Hs  Tp                 BAND PERIOD LIMITS (SECS)
YYYYMMDDHHMM (CM) (SEC) 22+ 22-18  18-16  16-14  14-12  12-10   10-8    8-6    6-2
202007060730   95 15     1      4     80    199     87     14     46     52     84
202007060800  110 15     1      8     48    341    109     17     58     77     89
202007060830   94 15     1      5     50    173    102     15     30     70    109
202007060900   93 15     1      7     58    186     73     20     39     53    106
202007060930  101 15     1      6     69    251     86     21     46     67     89
202007061000   98 15     2      6     71    223    114     13     33     64     78
202007061030  109 15     1      8     22    358    142     15     36     60     93
202007061100   99 15     1     10     51    221    103     15     56     71     87
202007061130  109 15     1      6     27    380    113     17     36     66     92
202007061200  106 15     1      6     25    273    138     22     37    106     94
202007061230  115 15     2      8     45    361    104     26     57    107    108
202007061300  118 15     2      8     33    343    179     19     50    127    103
202007061330  106 15     1      7     32    187    136     24     87    138     92
202007061400  113  7     1      6     31    142    117     26     91    263    117
202007061430  111  7     1      6     30    172    123     15    111    179    133
202007061500  125 15     1      7     41    395    136     22     98    145    125
202007061530   98 15     1      6     16    153     93     16     63    121    136
202007061600  106 15     1      3     16    159    110     22     82    155    158
202007061630  108  7     1      6     13    123    136     24     76    195    158
202007061700  106 15     0      3     16    166     82     21    102    153    160
202007061730  103 15     1      3     18    161     82     21     72    146    153
202007061800  101 15     1      4     11    182     91     30     75    124    129
202007061830  112 15     1      5     19    214    103     43    144    141    117
202007061900   96  7     1      4      7    122     94     27     74    137    109
202007061930   99 15     1      4      9    185     77     28     96    112    101
202007062000  101 15     1      4     13    201    100     30     88    117     81
202007062030   97 15     1      7     14    158     81     31     82    117     94
202007062100   98 15     1      7     12    186    100     30     65    100     96
202007062130   93 15     1      4     10    146     89     44     69     86     90
202007062200   98 15     1      6     12    143    111     24     87    115    102
202007062230  107 15     0      4     13    205    107     26     95    143    119
202007062300  101 15     1      6     15    161    136     26     46    133    115
202007062330  102 15     1      8     18    204    109     29     44    118    118
202007070000   93 15     1      5     12    155     86     24     43    107    113
202007070030   98 15     1      6     16    203    119     30     44     79    106
202007070100  105 13     1      8     15    163    245     33     49     78    108
202007070130  104 15     1     10     37    236    113     27     49    102    107
202007070200   95 15     1      7     15    184    108     16     52     89     90
202007070230  100 15     1      8     17    180    109     29     69    115     99
202007070300   88 15     0      6     11    123     95     35     52     83     85
202007070330   82 15     1      3     12    102     96     28     41     65     70
202007070400   94 15     1      6     10    134    127     35     77    100     67
202007070430   91 13     1      4     11    125    127     43     60     90     58
202007070500   89 15     1      4     12    143     81     40     55     94     69
202007070530   90 13     1      8      9     92    131     41     63    107     65
202007070600   91 15     1      6     12    158    112     33     67     77     62
202007070630   87 15     1      5     12    109     85     37     62     85     72
202007070700   80  7     1      8     14     70     61     33     67     79     76
202007070730   88  7     1      7     18     76     90     25     68    124     82
202007070800   95 13     0      4      8    103    119     42     83    115     98
202007070830   92  7     0      4     12     85     88     34     66    133    109
202007070900  104 15     1      8     17    179    100     39     96    138    100
202007070930   95  7     1      7     18     67    109     34     86    123    122
